긴장되다,v
긴장하다,v
길어지다,v
까다01,v
까먹다,v
깎다,v
깔다,v
깔리다01,v
깨끗해지다,v
깨다01,v
깨다02,v
깨닫다,v
깨뜨리다,v
깨어나다,v
깨어지다,v
깨우다01,v
깨지다,v
꺼내다,v
꺼지다01,v
꺾다,v
꼽히다01,v
꽂다,v
꾸다01,v
꾸다02,v
꾸리다01,v
꾸미다,v
꿈꾸다,v
끄다01,v
끄덕이다,v
끊기다,v
끊다,v
끊어지다,v
끌다,v
끌리다,v
끌어당기다,v
끓다,v
끓이다01,v
끝나다,v
끝내다,v
끼다02,v
끼다03,v
끼어들다,v
끼우다01,v
나가다,v
나누다,v
나누어지다,v
나뉘다,v
나다01,v
나르다01,v
나빠지다,v
나서다,v
나아가다,v
나아지다,v
나오다,v
나타나다,v
나타내다,v
날다01,v
날리다02,v
날아가다,v
날아다니다,v
날아오다,v
남기다,v
남다01,v
납득하다,v
낫다01,v
낮아지다,v
낮추다,v
낳다01,v
내놓다,v
내다02,v
내다보다,v
내려가다,v
내려놓다,v
내려다보다,v
내려오다,v
내려지다,v
내리다01,v
내밀다,v
내버리다,v
내보내다,v
내쉬다,v
내주다,v
넓어지다,v
넓히다,v
넘겨주다,v
넘기다,v
넘다01,v
넘어가다01,v
넘어뜨리다,v
넘어서다,v
넘어오다,v
넘어지다,v
넘치다,v
넣다,v
노래하다,v
노력하다01,v
녹다01,v
녹음하다,v
녹이다,v
논의하다,v
논하다,v
놀다01,v
놀라다,v
놀리다01,v
농사짓다,v
높아지다,v
높이다,v
놓다01,v
놓아두다,v
놓이다,v
놓치다,v
놔두다,v
누르다01,v
눈감다,v
눈뜨다,v
눕다01,v
느껴지다,v
느끼다02,v
늘다01,v
늘리다,v
늘어나다,v
늘어놓다,v
늘어서다,v
늘어지다,v
늙다,v
늦다,v
늦어지다,v
다가가다,v
다가서다,v
다가오다,v
다녀가다,v
다녀오다,v
다니다,v
다듬다,v
다루다01,v
다양해지다,v
다지다,v
다짐하다,v
다치다01,v
다투다,v
다하다,v
닥치다01,v
닦다01,v
닫다02,v
닫히다,v
달다03,v
달다04,v
달다05,v
달라지다,v
달래다01,v
달려가다,v
달려들다,v
달려오다,v
달리다01,v
달리다04,v
달리하다01,v
달아나다,v
닮다,v
담그다,v
담기다01,v
담다01,v
담당하다,v
답하다,v
